age,daily_hours,skill_count,habit_strength,openness,conscientiousness,extraversion,agreeableness,emotional_stability,field,success_probability
24,9,5,157,73,74,63,60,48,Creative,100.0
39,7,17,156,93,87,64,61,76,Business,100.0
32,7,3,103,56,81,58,99,46,Technology,91.54
42,5,8,48,94,71,65,66,43,Research,87.44
44,3,14,82,77,56,73,97,77,Technology,100.0
25,11,2,20,70,50,85,67,50,Business,96.02
27,10,8,17,99,47,63,45,42,Research,91.44
42,1,2,118,72,65,98,59,37,Business,61.87
34,1,3,183,65,70,72,88,75,Creative,71.12
36,4,16,86,59,90,34,84,49,Creative,100.0
21,2,13,135,87,93,63,46,34,Technology,92.98
35,8,15,182,52,55,42,49,95,Research,100.0
32,7,19,182,76,97,83,35,43,Creative,100.0
20,1,2,89,64,99,53,44,43,Business,61.68
31,6,14,90,57,59,91,69,68,Creative,100.0
44,4,1,83,56,88,78,52,42,Research,57.63
42,6,20,95,86,91,52,64,96,Business,100.0
36,7,15,132,96,53,95,68,47,Creative,100.0
23,11,21,177,67,66,31,68,85,Research,100.0
23,9,7,193,80,94,70,33,86,Business,100.0
41,4,14,193,70,63,36,83,37,Research,89.65
37,2,24,34,91,43,50,47,68,Research,100.0
38,6,16,61,63,47,57,45,45,Research,100.0
29,3,16,31,98,95,78,81,30,Business,100.0
25,6,2,103,54,90,82,44,79,Research,100.0
25,2,19,48,49,83,46,36,68,Creative,99.57
20,3,15,45,70,64,42,47,50,Creative,100.0
37,5,11,190,92,60,56,48,52,Research,99.28
35,3,11,108,79,91,80,98,70,Creative,100.0
41,5,20,160,88,77,76,36,95,Business,100.0
30,7,6,134,76,59,62,58,52,Business,100.0
44,2,13,74,83,59,81,66,56,Research,93.19
44,3,6,197,84,83,47,94,54,Research,77.7
29,11,4,156,45,64,60,38,66,Research,94.34
30,9,2,94,72,63,73,89,38,Business,89.52
31,11,23,90,75,52,45,74,94,Research,100.0
23,4,3,110,80,65,41,91,71,Research,82.99
37,1,10,158,40,93,87,84,55,Creative,91.75
42,1,8,78,45,62,59,83,40,Research,63.84
20,7,4,154,67,67,51,36,44,Creative,100.0
28,8,3,39,45,97,95,90,70,Business,94.52
35,9,17,57,88,92,85,69,53,Business,100.0
25,5,1,32,52,93,82,78,78,Business,85.46
43,1,15,158,57,69,89,42,53,Business,82.53
19,3,15,117,86,64,79,43,35,Creative,100.0
23,10,9,103,96,97,65,93,45,Creative,100.0
31,10,8,23,70,41,97,94,84,Creative,100.0
23,6,8,47,77,43,36,59,48,Research,83.09
20,8,1,170,53,77,39,86,57,Business,97.03
38,1,6,178,54,83,32,72,76,Research,77.82
31,2,4,163,90,51,31,46,64,Creative,66.26
28,5,15,172,87,60,89,73,34,Research,100.0
26,5,18,158,47,83,80,70,53,Creative,81.31
18,6,12,194,95,90,88,63,52,Creative,100.0
39,11,18,49,86,80,76,49,94,Creative,100.0
30,2,23,173,66,45,64,67,64,Creative,98.49
27,5,9,47,68,91,88,72,33,Technology,100.0
33,9,14,20,68,73,43,53,88,Research,100.0
43,11,4,176,55,97,88,35,85,Creative,100.0
42,8,14,178,54,64,47,41,80,Technology,100.0
24,9,10,83,73,85,83,58,70,Technology,100.0
31,5,9,81,78,79,83,32,84,Creative,100.0
32,8,1,105,46,58,63,79,76,Business,82.61
36,6,17,127,67,58,56,77,48,Technology,100.0
36,7,23,180,44,69,87,37,71,Creative,100.0
27,3,20,122,59,55,32,74,51,Creative,100.0
40,11,17,77,90,93,86,52,89,Technology,100.0
40,5,16,72,95,94,54,55,78,Research,100.0
30,9,15,176,72,40,98,85,38,Creative,100.0
25,6,6,94,69,57,32,91,41,Research,85.82
38,5,6,94,99,77,44,47,81,Technology,93.01
34,9,19,155,96,94,66,89,67,Creative,100.0
28,4,17,138,97,42,92,50,52,Technology,93.2
31,4,19,71,62,66,68,56,75,Business,100.0
18,2,20,177,74,70,87,60,67,Business,100.0
26,6,16,41,41,65,43,67,37,Creative,97.3
38,8,14,52,95,67,75,77,99,Creative,100.0
25,9,2,154,91,84,66,71,73,Technology,99.87
38,6,3,133,86,78,35,97,80,Technology,87.34
23,11,22,39,91,75,31,87,65,Creative,100.0
30,10,18,146,40,52,79,61,72,Technology,100.0
32,3,9,110,76,82,81,86,57,Creative,83.64
37,2,3,87,78,65,37,44,36,Business,74.08
39,2,24,183,86,54,45,98,31,Creative,95.14
37,9,9,191,66,70,70,65,76,Research,100.0
25,9,16,131,67,61,51,70,48,Technology,100.0
35,11,5,171,78,98,36,81,89,Creative,100.0
43,10,10,26,92,53,31,56,77,Business,100.0
41,6,9,95,62,46,56,72,36,Creative,82.9
24,8,7,34,80,98,42,91,37,Technology,100.0
30,2,24,69,93,99,31,95,43,Creative,100.0
29,7,14,13,65,75,79,32,30,Technology,100.0
24,5,19,112,85,73,78,76,79,Technology,100.0
32,2,14,115,59,49,39,63,90,Creative,88.4
44,8,1,136,72,43,38,45,34,Business,76.63
42,9,19,22,63,50,81,46,66,Technology,100.0
44,4,1,115,71,47,85,99,73,Creative,69.75
42,6,10,166,55,40,46,59,55,Technology,93.16
31,3,21,94,56,85,82,93,74,Technology,100.0
18,5,6,163,41,98,34,66,60,Creative,100.0
20,6,15,152,55,59,73,71,75,Research,100.0
26,11,11,162,61,81,75,88,50,Business,100.0
39,9,5,177,50,40,94,91,83,Research,83.69
33,11,10,176,94,73,60,41,67,Research,100.0
19,4,5,148,97,64,64,64,51,Technology,89.41
20,5,8,29,81,73,33,47,80,Creative,100.0
37,10,9,89,65,77,54,97,70,Research,100.0
26,7,14,143,60,54,81,63,30,Creative,96.96
43,1,19,157,55,46,36,79,31,Research,80.21
26,5,11,14,68,50,34,65,48,Creative,82.11
39,2,24,26,51,64,85,46,47,Technology,100.0
35,10,18,144,51,73,39,98,32,Research,100.0
30,3,6,151,43,84,47,81,67,Creative,88.25
36,3,24,77,72,41,42,91,90,Technology,100.0
19,3,22,97,87,83,62,48,86,Research,100.0
40,4,20,13,77,43,34,70,90,Research,100.0
40,11,13,151,99,47,54,73,39,Research,100.0
32,2,18,40,83,87,49,78,64,Research,100.0
27,1,6,124,75,59,84,96,37,Creative,62.35
24,2,21,143,67,87,65,61,74,Business,100.0
38,9,11,96,89,50,78,31,96,Research,100.0
42,4,11,101,40,98,98,71,63,Creative,97.17
19,2,13,142,59,41,91,61,87,Business,100.0
27,6,23,90,61,82,65,81,65,Creative,100.0
31,10,4,79,48,60,93,90,69,Creative,100.0
22,3,8,18,54,75,36,44,66,Research,93.49
24,6,19,66,67,56,48,92,60,Research,100.0
20,3,18,162,82,59,87,79,39,Technology,100.0
40,4,10,22,86,62,79,33,96,Technology,97.61
24,3,12,72,40,78,55,73,41,Business,85.4
30,6,12,175,98,81,81,92,90,Creative,100.0
42,5,1,127,54,71,37,47,74,Technology,86.39
18,5,18,136,97,49,65,52,69,Technology,100.0
24,1,6,134,61,54,44,54,82,Technology,71.72
40,6,2,122,71,60,97,73,95,Business,100.0
19,4,19,18,46,69,92,64,42,Research,99.26
31,8,9,45,92,79,32,48,57,Research,100.0
26,3,15,60,63,91,37,98,91,Research,100.0
21,4,24,15,94,96,60,35,58,Research,100.0
35,1,16,89,98,49,62,96,98,Creative,100.0
42,8,12,66,71,55,50,80,50,Creative,100.0
29,10,14,143,40,61,63,85,32,Business,100.0
23,6,20,158,41,65,85,39,99,Research,100.0
31,5,23,58,73,80,73,51,60,Research,100.0
26,5,16,29,82,83,76,48,77,Creative,100.0
35,4,17,173,87,62,44,73,96,Creative,100.0
27,8,6,95,53,56,80,87,44,Technology,87.74
27,10,10,104,50,93,45,48,60,Technology,100.0
21,5,7,99,47,63,37,77,59,Business,90.87
43,4,5,145,40,67,99,76,34,Business,58.07
41,2,20,165,52,44,59,30,75,Technology,97.87
42,6,21,149,59,57,63,82,93,Research,100.0
30,11,17,26,87,60,79,69,32,Technology,100.0
40,6,8,64,97,84,48,58,52,Research,100.0
27,11,17,38,98,84,96,80,40,Business,100.0
20,5,9,37,58,67,67,72,50,Research,86.49
31,6,6,58,50,86,68,59,50,Technology,100.0
25,5,19,17,88,58,88,84,59,Research,100.0
21,7,12,164,52,53,83,77,59,Research,89.99
40,11,13,128,74,54,57,36,91,Business,100.0
31,2,19,55,59,71,67,90,61,Business,100.0
35,4,22,124,61,92,95,72,52,Technology,100.0
26,9,17,144,80,93,94,31,33,Business,100.0
35,3,14,157,64,81,78,37,92,Business,100.0
38,7,8,110,55,79,56,47,64,Technology,95.56
44,1,8,75,88,89,60,90,93,Technology,100.0
26,9,2,43,90,94,88,32,46,Business,100.0
21,1,17,165,89,65,37,63,88,Business,98.85
44,11,16,19,79,51,51,45,41,Research,100.0
20,9,21,198,93,76,94,71,78,Creative,100.0
32,3,8,197,62,54,60,87,33,Research,75.25
20,6,1,185,40,92,55,37,79,Creative,85.59
23,10,10,46,65,67,41,78,43,Business,100.0
35,2,2,196,56,49,47,51,87,Technology,73.11
18,8,4,168,70,41,48,82,51,Research,88.38
20,7,20,134,84,79,68,47,70,Business,100.0
44,4,15,46,97,44,36,70,39,Business,91.45
31,9,1,154,84,63,56,36,41,Technology,88.71
20,5,10,42,85,98,81,35,31,Technology,96.75
21,11,4,166,76,99,70,94,93,Research,100.0
19,4,22,46,66,61,34,63,68,Research,100.0
20,7,24,76,54,68,79,58,61,Research,100.0
24,9,5,151,43,59,57,43,73,Business,86.66
24,9,9,165,97,70,46,84,39,Creative,100.0
23,11,20,178,54,99,71,57,42,Creative,100.0
32,5,11,65,70,43,81,39,74,Creative,85.24
43,5,23,194,89,60,72,39,59,Technology,100.0
39,5,1,116,91,99,44,65,76,Business,99.89
39,10,14,63,72,97,68,52,72,Research,100.0
36,4,14,133,42,78,65,58,66,Technology,100.0
43,4,23,54,55,87,60,63,79,Technology,100.0
28,8,24,24,87,88,73,39,49,Business,100.0
25,2,19,13,83,89,68,53,84,Business,100.0
43,1,20,187,64,55,34,97,35,Business,87.9
34,7,24,192,78,48,74,43,84,Technology,100.0
38,4,8,105,86,60,86,48,87,Research,98.87
39,6,4,52,68,81,32,30,84,Research,100.0
24,1,24,48,99,42,59,64,86,Technology,100.0
35,4,22,23,74,67,87,59,36,Research,100.0
32,4,14,72,75,66,53,69,58,Technology,100.0
30,6,8,24,88,44,93,33,47,Business,83.72
40,5,16,120,79,48,63,56,42,Creative,93.76
44,9,5,95,70,42,59,50,35,Creative,76.93
42,3,22,176,93,69,92,60,69,Technology,100.0
42,4,24,104,97,78,75,39,61,Technology,100.0
35,8,10,84,45,40,91,67,74,Business,80.73
34,1,8,127,79,95,92,65,86,Business,99.25
33,2,4,59,68,70,39,56,44,Creative,50.62
29,5,9,183,84,99,55,80,65,Creative,99.78
39,7,17,12,73,79,95,63,38,Business,100.0
37,5,6,131,83,64,38,91,55,Technology,83.84
41,10,20,146,62,78,58,60,48,Creative,100.0
40,11,21,53,74,88,51,44,42,Creative,100.0
18,2,2,109,74,56,57,43,63,Creative,68.32
28,9,13,106,96,94,95,66,97,Creative,100.0
35,5,21,36,70,66,30,35,40,Business,100.0
24,4,21,27,60,58,33,58,54,Creative,100.0
36,1,1,175,58,91,30,69,50,Business,74.63
32,2,7,57,78,71,78,97,74,Creative,80.45
24,9,1,89,57,93,76,35,95,Technology,100.0
21,7,22,116,84,82,80,54,64,Technology,100.0
34,11,5,89,54,81,63,77,37,Research,100.0
27,5,20,185,92,65,52,91,42,Technology,100.0
29,1,20,197,87,69,46,43,48,Research,100.0
44,3,1,53,71,86,40,31,97,Technology,86.49
40,8,4,175,68,58,58,64,99,Research,93.71
40,7,14,181,87,91,37,84,95,Technology,100.0
37,4,16,61,77,66,65,84,42,Technology,100.0
32,10,8,31,78,62,87,59,47,Business,100.0
24,10,7,16,44,40,75,47,42,Technology,86.57
25,8,10,169,56,77,77,92,69,Research,100.0
30,10,20,91,52,63,69,43,99,Business,100.0
41,9,1,135,71,52,62,61,85,Creative,100.0
19,5,20,153,42,88,87,73,54,Research,100.0
29,11,1,106,54,56,81,87,70,Creative,94.6
31,11,9,170,72,59,33,94,63,Research,100.0
38,8,15,162,94,48,46,50,89,Technology,100.0
41,11,10,22,83,81,68,48,80,Research,100.0
29,4,22,184,76,95,59,75,50,Research,100.0
23,7,21,34,43,69,42,71,78,Business,100.0
41,8,23,27,74,64,61,53,36,Technology,100.0
21,10,10,118,70,49,55,61,81,Creative,100.0
24,9,8,196,52,53,73,77,72,Creative,97.07
27,4,2,100,44,76,56,62,97,Research,93.64
38,8,12,104,83,87,78,82,78,Technology,100.0
42,4,19,148,56,83,95,99,98,Creative,100.0
38,9,23,81,70,59,56,37,90,Creative,100.0
24,5,11,134,54,73,42,36,35,Creative,89.57
24,2,22,162,67,93,68,96,34,Technology,100.0
42,9,15,115,73,91,98,72,30,Business,100.0
32,10,18,57,48,40,38,52,74,Business,100.0
35,5,12,143,42,53,95,96,60,Technology,93.93
41,1,12,24,76,66,77,56,41,Research,75.23
24,2,21,48,71,82,72,32,75,Creative,100.0
28,4,17,12,96,49,92,69,47,Research,100.0
26,7,14,84,99,72,55,56,67,Business,100.0
43,6,5,172,41,74,80,47,72,Creative,100.0
24,1,6,91,84,61,68,80,38,Research,51.7
40,4,24,71,89,79,69,83,36,Technology,100.0
36,1,21,126,49,92,75,74,38,Business,100.0
23,3,21,128,74,57,82,48,98,Technology,100.0
43,5,18,197,57,40,43,37,95,Research,100.0
32,2,4,71,40,90,71,30,83,Research,85.32
39,9,18,54,49,95,39,43,75,Research,100.0
37,6,11,15,60,72,48,91,82,Creative,100.0
21,9,10,75,47,72,67,91,57,Business,100.0
30,1,2,76,48,44,39,41,87,Technology,58.95
42,10,17,81,56,48,61,99,50,Research,100.0
24,7,22,36,47,48,57,95,76,Business,100.0
35,1,7,140,53,83,75,90,65,Technology,90.12
33,6,5,47,77,89,67,85,92,Business,100.0
44,3,23,64,40,47,33,82,87,Technology,100.0
34,3,19,138,68,62,62,81,70,Research,100.0
28,8,8,102,44,67,38,31,92,Creative,100.0
36,4,17,40,46,69,87,32,80,Research,100.0
31,2,15,10,69,96,67,91,99,Business,100.0
18,8,3,26,87,47,89,69,91,Technology,99.62
21,5,22,98,68,50,89,97,75,Business,100.0
34,2,8,45,49,46,45,43,54,Technology,76.39
24,5,13,167,71,72,77,51,83,Business,100.0
21,7,23,181,64,51,81,94,94,Business,100.0
25,6,22,35,65,48,50,92,35,Creative,94.99
31,1,7,161,48,50,80,31,44,Research,57.12
24,4,10,15,96,69,96,44,46,Research,83.52
35,3,19,85,63,44,53,77,59,Research,94.22
29,2,20,50,71,43,34,82,37,Business,74.89
27,7,22,55,69,76,45,34,96,Research,100.0
38,2,22,81,62,71,97,93,48,Creative,100.0
40,2,21,96,72,91,76,83,73,Technology,100.0
41,7,2,176,58,70,53,98,94,Technology,93.9
44,2,24,170,71,98,70,41,40,Technology,100.0
19,7,20,11,58,77,61,39,37,Business,100.0
28,9,20,157,48,47,44,92,50,Technology,100.0
34,9,20,172,45,72,50,68,63,Business,100.0
42,6,2,65,88,67,30,94,57,Creative,89.7
42,10,12,178,46,51,98,43,63,Creative,100.0
34,3,23,74,98,89,65,48,71,Technology,100.0
37,3,15,45,51,57,80,72,63,Creative,95.28
18,1,18,134,96,68,34,53,93,Research,100.0
18,7,11,33,63,46,50,49,39,Technology,100.0
32,4,16,184,54,83,91,35,95,Creative,100.0
34,9,1,120,51,76,85,79,49,Business,90.47
21,6,22,117,89,71,88,49,65,Business,100.0
31,3,15,100,44,98,85,60,64,Business,100.0
24,6,22,10,58,46,65,54,88,Technology,100.0
36,6,4,50,98,54,83,93,44,Research,73.62
35,7,22,155,55,41,65,49,45,Research,100.0
20,10,5,139,90,95,91,63,85,Research,100.0
37,2,20,162,92,53,89,72,91,Research,100.0
19,6,16,192,69,86,72,90,67,Technology,100.0
36,10,24,124,69,76,82,92,40,Business,100.0
18,6,15,87,58,98,34,47,73,Research,100.0
40,5,15,39,94,80,97,98,70,Technology,100.0
30,4,21,182,92,79,74,74,84,Research,100.0
22,6,22,133,71,45,55,66,42,Technology,100.0
37,7,8,197,48,60,90,55,83,Business,83.7
28,5,9,134,50,66,63,67,90,Research,100.0
31,4,22,122,54,77,43,86,88,Technology,100.0
25,8,19,41,70,68,70,74,42,Research,100.0
36,5,16,146,67,71,81,83,32,Research,100.0
22,8,14,129,42,63,42,72,58,Creative,87.38
43,2,18,66,46,87,77,89,62,Creative,100.0
36,3,6,13,75,43,71,38,80,Technology,83.93
39,4,11,140,63,69,37,39,58,Creative,94.79
39,1,20,30,78,63,89,55,38,Creative,91.01
21,6,9,159,40,44,66,42,72,Creative,99.21
22,10,24,158,80,48,71,71,31,Creative,100.0
41,2,18,182,79,65,61,86,82,Technology,95.32
37,2,3,149,90,64,39,81,63,Research,80.66
28,6,20,198,82,88,58,60,82,Business,100.0
23,9,5,141,41,51,64,99,50,Technology,91.7
33,7,15,143,86,56,97,51,61,Research,100.0
39,11,14,24,99,83,38,63,44,Business,100.0
36,3,16,84,81,47,62,47,64,Business,88.55
28,2,3,68,67,85,93,99,76,Business,76.06
27,6,17,60,68,88,44,54,90,Technology,100.0
22,4,12,114,96,70,32,96,79,Technology,94.72
28,8,3,169,62,73,48,95,89,Research,100.0
19,8,21,172,44,82,56,36,35,Business,100.0
34,10,8,177,85,46,99,97,30,Research,94.98
42,1,20,172,94,44,34,46,82,Creative,100.0
19,8,1,38,75,90,66,98,82,Creative,100.0
37,8,19,21,91,40,36,46,72,Research,100.0
39,6,22,116,68,89,79,98,59,Research,100.0
40,5,24,56,60,59,52,97,50,Technology,100.0
31,11,19,59,99,73,35,78,35,Technology,100.0
39,5,7,106,52,90,30,42,72,Research,93.93
42,1,8,26,84,53,87,85,83,Research,97.31
44,8,6,132,93,66,74,60,65,Technology,100.0
40,5,14,61,88,45,39,52,46,Business,94.92
37,9,15,181,85,97,79,81,99,Creative,100.0
30,3,22,118,70,83,81,96,57,Research,100.0
31,2,19,69,49,88,44,97,44,Research,89.34
18,7,21,168,57,51,77,59,36,Creative,100.0
34,3,11,72,45,70,44,72,47,Business,79.82
41,4,8,30,68,82,50,32,60,Research,97.35
44,11,9,194,72,72,73,72,60,Technology,100.0
32,2,18,89,43,47,57,31,46,Business,93.15
27,9,2,97,58,56,84,57,79,Technology,100.0
42,10,8,189,64,87,38,39,39,Technology,100.0
43,3,19,116,77,45,44,76,74,Business,100.0
40,4,14,156,63,59,76,81,53,Technology,95.94
42,7,18,73,67,61,85,88,34,Business,100.0
23,9,15,130,64,77,73,44,80,Technology,100.0
19,8,13,79,77,71,50,36,85,Technology,100.0
26,5,8,25,71,76,47,49,75,Business,100.0
40,7,3,183,78,86,78,30,51,Technology,91.33
30,6,22,74,60,96,33,32,59,Research,100.0
19,3,20,63,98,79,54,44,67,Research,100.0
27,11,22,23,74,72,81,30,63,Research,100.0
41,10,4,173,52,97,61,38,96,Creative,100.0
43,6,16,84,64,81,77,37,44,Creative,100.0
38,3,4,39,52,83,50,70,48,Research,57.8
22,10,18,116,78,85,49,40,73,Business,100.0
43,2,23,74,94,49,30,67,38,Research,100.0
22,4,18,42,43,62,81,38,93,Business,100.0
25,8,5,85,40,54,67,71,75,Technology,88.86
44,3,22,159,65,58,89,68,65,Technology,100.0
26,6,16,35,52,75,53,50,47,Research,100.0
25,5,17,129,96,88,87,89,79,Creative,100.0
32,2,2,115,42,69,81,36,48,Business,76.56
33,11,14,140,89,68,83,35,78,Research,100.0
31,4,13,100,99,74,74,90,85,Business,100.0
21,2,2,93,93,92,78,61,90,Business,77.39
18,6,3,60,46,84,94,43,32,Business,95.25
30,4,9,151,75,49,69,52,84,Research,79.48
24,10,3,75,54,48,76,81,47,Research,99.16
40,5,8,171,41,44,60,97,99,Research,93.49
30,3,11,118,47,78,42,94,35,Research,84.21
37,2,23,57,88,63,97,73,46,Research,100.0
23,10,22,143,95,45,81,44,97,Technology,100.0
24,3,17,118,86,65,87,60,95,Creative,100.0
27,2,23,150,90,63,86,58,85,Business,100.0
30,5,12,47,61,48,69,55,34,Technology,95.09
39,6,17,12,67,77,43,76,43,Research,100.0
32,6,1,34,55,91,44,32,96,Technology,87.82
34,7,17,175,40,46,48,81,59,Research,100.0
43,11,9,50,87,51,39,35,63,Research,100.0
37,9,19,15,41,54,46,45,57,Technology,100.0
36,1,4,193,42,81,41,47,52,Creative,75.29
23,5,2,51,41,69,38,71,63,Creative,65.67
21,2,12,186,48,58,75,75,46,Business,84.37
25,5,7,191,87,55,36,37,67,Business,87.44
23,2,24,125,48,47,48,80,86,Creative,100.0
23,3,3,92,82,68,39,41,75,Business,98.14
26,8,3,32,50,49,79,65,42,Business,68.79
23,11,21,130,65,59,34,49,43,Creative,100.0
36,1,22,171,89,90,32,87,84,Research,100.0
41,10,21,19,96,64,85,67,90,Creative,100.0
21,2,11,71,75,60,33,94,91,Business,100.0
41,3,2,146,94,96,74,47,77,Technology,100.0
43,10,4,51,74,77,96,70,79,Creative,100.0
39,8,15,54,46,58,46,94,85,Creative,100.0
22,2,11,82,77,79,70,38,37,Creative,74.41
43,8,3,22,58,73,78,59,95,Technology,94.41
35,8,11,105,89,66,74,57,79,Business,100.0
37,4,13,33,87,77,77,74,87,Creative,100.0
34,8,15,154,62,41,99,56,66,Technology,100.0
19,2,10,83,77,98,73,46,88,Technology,98.33
44,5,2,43,70,62,93,62,41,Technology,75.9
29,3,9,83,56,89,68,70,39,Creative,83.1
43,9,2,56,56,78,67,73,80,Technology,84.16
38,10,14,173,44,72,30,82,35,Technology,100.0
44,5,9,188,92,86,42,98,95,Research,100.0
21,11,18,126,49,52,31,44,75,Technology,100.0
32,8,21,159,85,72,74,69,51,Business,100.0
26,3,18,51,44,66,99,91,61,Creative,97.95
31,10,21,53,71,78,57,68,61,Technology,100.0
32,2,7,79,94,50,61,49,69,Creative,90.9
32,8,17,155,73,51,45,33,63,Creative,100.0
31,11,13,168,99,64,53,94,54,Creative,100.0
20,8,16,79,53,42,77,94,73,Business,100.0
31,3,22,82,46,85,79,92,70,Technology,100.0
25,5,15,137,42,41,85,97,61,Business,86.96
31,2,2,36,99,93,68,73,65,Research,83.9
40,9,2,28,80,65,57,93,97,Research,100.0
33,3,10,111,87,49,68,48,93,Creative,87.08
27,5,7,167,44,56,47,50,79,Business,84.65
42,6,18,124,40,96,59,87,81,Technology,100.0
22,1,18,88,61,80,56,84,61,Creative,100.0
30,3,24,162,60,53,55,46,36,Creative,100.0
40,11,19,84,55,62,89,69,96,Business,100.0
23,4,24,102,86,85,31,94,49,Business,100.0
20,4,10,60,68,77,30,37,92,Technology,100.0
32,5,3,135,41,74,70,88,45,Creative,72.18
38,1,20,186,60,99,81,83,68,Technology,100.0
34,11,10,109,61,65,36,91,53,Creative,100.0
38,8,4,25,49,82,34,40,58,Technology,95.03
32,6,16,24,82,59,63,89,91,Business,100.0
34,8,16,105,76,49,78,77,58,Creative,95.24
43,7,11,16,88,93,97,71,88,Creative,100.0
22,8,21,151,46,46,38,32,46,Business,100.0
29,6,14,99,97,67,43,38,55,Business,100.0
22,2,23,131,95,63,58,55,86,Technology,100.0
34,10,2,196,70,45,78,34,60,Technology,97.0
28,6,23,49,41,54,76,59,45,Research,100.0
31,4,13,18,40,98,93,37,81,Business,100.0
38,5,16,183,85,53,90,75,80,Business,100.0
20,1,14,179,84,93,97,76,59,Creative,100.0
22,1,7,16,81,77,81,73,93,Technology,97.47
41,11,18,107,87,73,30,72,71,Research,100.0
32,1,23,62,80,73,46,35,60,Technology,100.0
25,8,5,144,84,52,33,79,32,Creative,78.8
30,1,8,41,59,90,46,63,64,Research,79.48
23,10,24,191,57,89,75,77,62,Technology,100.0
18,5,17,19,70,83,54,86,95,Research,100.0
33,2,20,127,53,89,95,63,54,Creative,100.0
26,10,14,62,87,82,67,71,77,Research,100.0
19,3,9,153,70,93,87,57,33,Business,86.75
21,5,15,133,98,85,57,84,60,Technology,100.0
40,9,17,55,88,40,71,52,56,Technology,100.0
20,3,15,154,89,71,36,98,87,Creative,100.0
38,3,15,80,76,62,84,70,49,Technology,95.84
21,11,19,180,44,68,39,42,34,Business,100.0
43,11,12,137,98,52,44,30,67,Research,100.0
18,11,11,137,79,61,89,73,35,Creative,100.0
40,8,5,115,93,87,46,67,38,Business,100.0
34,11,16,173,73,55,62,32,40,Creative,100.0
43,2,15,181,68,98,79,98,58,Technology,88.46
19,9,19,177,41,58,94,91,83,Technology,100.0
40,4,17,78,77,43,46,82,82,Creative,100.0
19,1,15,123,49,77,82,77,60,Technology,90.72
29,6,14,131,62,55,54,68,95,Business,100.0
25,11,4,153,96,57,88,40,30,Technology,94.44
22,2,14,150,71,46,79,60,80,Research,90.2
38,9,10,129,62,50,62,49,54,Business,94.12
25,4,12,169,72,49,97,44,80,Business,97.0
20,11,22,171,43,57,55,90,77,Creative,100.0
19,7,7,92,46,86,37,30,32,Technology,81.62
21,5,3,77,44,89,39,37,41,Creative,83.23
39,10,3,59,62,79,47,50,30,Technology,88.01
26,7,14,20,46,70,55,59,63,Business,100.0
23,5,5,198,58,90,67,57,55,Technology,81.53
20,1,10,140,44,96,71,91,87,Technology,97.2
33,1,6,197,44,98,75,63,54,Business,82.72
44,9,3,152,43,84,67,49,52,Technology,87.04
32,8,5,54,72,72,36,51,34,Business,100.0
34,8,18,144,93,97,79,89,36,Creative,100.0
30,11,18,97,50,80,84,93,94,Business,100.0
19,5,24,59,56,86,81,38,49,Research,100.0
35,4,8,74,63,63,76,73,58,Technology,89.89
41,1,18,112,87,79,75,80,40,Creative,100.0
30,8,1,18,67,41,42,31,97,Creative,96.92
23,7,5,140,49,82,48,43,50,Creative,86.53
28,5,4,33,93,77,46,51,74,Business,96.63
23,2,1,52,70,87,64,66,76,Research,74.4
21,7,4,177,78,65,44,66,33,Business,83.41
31,1,8,107,65,84,67,53,35,Creative,73.33
35,6,5,178,50,77,72,82,44,Business,91.29
36,9,19,161,97,48,33,39,92,Technology,100.0
36,3,2,72,58,88,92,85,50,Business,81.61
19,3,1,52,96,49,66,77,98,Creative,83.14
40,4,23,47,90,48,44,45,82,Creative,100.0
42,10,7,16,75,74,68,65,49,Technology,100.0
44,7,17,99,65,75,72,72,62,Creative,100.0
30,8,15,104,56,51,51,52,41,Business,100.0
21,11,14,188,52,96,84,57,73,Research,100.0
31,3,19,157,64,50,85,90,84,Research,100.0
31,11,7,194,58,42,63,70,51,Business,100.0
44,5,2,191,86,48,71,65,39,Research,55.27
25,6,13,176,46,43,44,77,35,Creative,81.06
21,10,13,28,46,49,54,73,87,Technology,100.0
41,3,15,177,51,91,99,39,95,Creative,100.0
40,11,4,58,87,90,36,80,46,Creative,100.0
43,9,22,150,51,46,30,62,43,Research,100.0
43,9,17,124,78,40,70,74,42,Research,100.0
26,3,23,191,86,78,55,30,43,Creative,100.0
22,3,17,59,97,92,86,47,45,Business,100.0
32,8,11,63,49,94,60,38,77,Business,100.0
28,4,19,109,91,65,53,42,75,Technology,100.0
19,4,7,135,56,87,53,83,30,Research,87.5
23,1,20,111,47,65,49,84,77,Research,100.0
36,8,1,97,49,91,79,63,65,Research,99.49
35,7,15,95,71,82,69,94,64,Technology,100.0
35,5,19,186,87,75,83,76,61,Research,100.0
28,8,5,112,77,69,87,61,95,Research,100.0
28,11,20,46,48,77,78,48,84,Creative,100.0
41,9,7,20,48,88,59,70,32,Business,96.23
25,3,20,41,87,46,49,64,53,Creative,96.68
23,10,11,180,57,79,68,57,92,Creative,100.0
29,9,20,38,62,60,80,74,51,Research,100.0
31,10,21,96,83,67,90,80,67,Creative,100.0
41,8,16,75,93,78,68,59,77,Research,100.0
42,4,18,188,52,75,92,71,83,Technology,100.0
20,10,8,193,78,58,75,44,61,Technology,100.0
40,5,20,75,44,48,49,92,59,Technology,92.98
